Server Name 	Install Server 	Contract 
linagi61.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
lirudderinstallq02.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
linagi13.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
liagpam004.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
lttssso03.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
liagpampoc003.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
ltagpam004.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
linagi25.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
linagi21.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
li10pam001.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
ltorch120.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
litsims04.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
ltedi02.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
liitsm103.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
ltnagi55.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
ltnagi54.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
linagi60.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
ltbom3.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
liinstjm.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
linagi65.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
ltruddersbr01.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
ltnagi60.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
lttsps03.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
lttsims03.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
ltnagi56.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
liitsm102.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
liitsm112.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
linagi50.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
ltbppm05.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
lirudderinstallq01.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
liinst02.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
lienter05.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
lt10pamplayground01.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
lt10pamplayground03.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
lttpa02.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
lt10pamplayground02.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
liitsm109.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
liitsm113.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
ltitsme101.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
ltnagi21.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
ltruddersbm04.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
litsps02.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
lirudderinstallp01.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
