Server Name 	Install Server 	Contract 
li19app12121vm.bmwgroup.net	              lp19instiaas02	IAAS_NTT_LI-UX_SRV
lt10sapwd01.bmwgroup.net	              lp10instiaas02	IAAS_NTT_LI-UX_SRV
lt10bvis75vm.bmwgroup.net	              lp10instiaas02	IAAS_NTT_LI-UX_SRV
li10mcq01.bmwgroup.net	              lp10instiaas02	IAAS_NTT_LI-UX_SRV
li10prepaempub1.bmwgroup.net	              lp10instiaas02	IAAS_NTT_LI-UX_SRV
li10prepaempub2.bmwgroup.net	              lp10instiaas02	IAAS_NTT_LI-UX_SRV
li10mq21vm.bmwgroup.net	              lp10instiaas02	IAAS_NTT_LI-UX_SRV
li10dynatag02.bmwgroup.net	              lp10instiaas02	IAAS_NTT_LI-UX_SRV
li10pgd00963vm.bmwgroup.net	              lp10instiaas02	IAAS_NTT_LI-UX_SRV
li10prepaemauth1.bmwgroup.net	              lp10instiaas02	IAAS_NTT_LI-UX_SRV
lt10d05.w10	              lp10instiaas02	IAAS_NTT_LI-UX_SRV
li10vcdasbcapp001.bmwgroup.net	              lp10instiaas02	IAAS_NTT_LI-UX_SRV
li19socsplunk03.bmwgroup.net	              lp19instiaas02	IAAS_NTT_LI-UX_SRV
lt09kwomdx02vm.bmwgroup.net	              lp09instiaas02	IAAS_NTT_LI-UX_SRV
li19dynatcl03.bmwgroup.net	              lp19instiaas02	IAAS_NTT_LI-UX_SRV
lt09intra12004vm.bmwgroup.net	              lp09instiaas02	IAAS_NTT_LI-UX_SRV
li10logstash1vm.bmwgroup.net	              lp10instiaas02	IAAS_NTT_LI-UX_SRV
lt10mq16vm.bmwgroup.net	              lp10instiaas02	IAAS_NTT_LI-UX_SRV
lt10app12001vm.bmwgroup.net	              lp10instiaas02	IAAS_NTT_LI-UX_SRV
lt10intra12002vm.bmwgroup.net	              lp10instiaas02	IAAS_NTT_LI-UX_SRV
lt09www12003.bmwgroup.net	              lp09instiaas02	IAAS_NTT_LI-UX_SRV
