ServerName	Server Contract 	Install Server
lp00xen07	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp00xen08	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp0190xendrbdah03	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp0190xendrbdah04	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp01xen29	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp01xen30	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp01xen31	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp01xen32	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp01xen33	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp01xen34	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp01xen35	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp01xen36	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp02xen41	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp02xen42	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp02xen43	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp02xen44	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp02xen45	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp02xen46	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp02xen49	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp02xen50	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp02xen51	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp02xen52	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp02xen53	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp02xen54	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp02xen55	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp02xen56	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp02xen57	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp02xen58	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp02xen59	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp02xen60	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp02xen61	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp02xen62	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp03xen09	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp03xen10	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp03xen11	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp03xen12	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp05xen17	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp05xen18	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp05xen19	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp05xen20	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp05xensdi07	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp05xensdi08	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp05xensor09	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp05xensor10	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp06xen35	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp06xen36	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp06xen39	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp06xen40	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp06xen41	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp06xen42	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp06xen43	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp06xen44	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp06xen45	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp06xen46	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp06xenpg01	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp06xenpg02	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp07xen19	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp07xen20	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp07xen21	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp07xen22	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp07xen23	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp07xen24	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp07xenpg01	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp07xenpg02	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp12xen01	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp12xen02	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp1650xen1027	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp1650xen1028	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp1650xen1035	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp1650xen1036	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp1650xen1037	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp1650xen1038	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp16xen23	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lp16xen24	IAAS_NTT_LI-UX_SRV	lpinstiaas02
