SERVER_ID	NAME	VERSION	INSTSERV
li19app12121vm.bmwgroup.net	pbis-enterprise	10.0.0	lp19instiaas02
lt10sapwd01.bmwgroup.net	pbis-enterprise	10.0.0	lp10instiaas02
lt10bvis75vm.bmwgroup.net	pbis-enterprise	10.0.0	lp10instiaas02
li10mcq01.bmwgroup.net	pbis-enterprise	10.0.0	lp10instiaas02
li10prepaempub1.bmwgroup.net	pbis-enterprise	10.0.0	lp10instiaas02
li10prepaempub2.bmwgroup.net	pbis-enterprise	10.0.0	lp10instiaas02
li10mq21vm.bmwgroup.net	pbis-enterprise	10.1.1	lp10instiaas02
li10dynatag02.bmwgroup.net	pbis-enterprise	10.1.1	lp10instiaas02
li10pgd00963vm.bmwgroup.net	pbis-enterprise	10.0.0	lp10instiaas02
li10prepaemauth1.bmwgroup.net	pbis-enterprise	10.0.0	lp10instiaas02
lt10d05.w10	pbis-enterprise	10.0.0	lp10instiaas02
li10vcdasbcapp001.bmwgroup.net	pbis-enterprise	10.0.0	lp10instiaas02
li19socsplunk03.bmwgroup.net	pbis-enterprise	10.0.0	lp19instiaas02
lt09kwomdx02vm.bmwgroup.net	pbis-enterprise	10.0.0	lp09instiaas02
li19dynatcl03.bmwgroup.net	pbis-enterprise	10.0.0	lp19instiaas02
lt09intra12004vm.bmwgroup.net	pbis-enterprise	10.0.0	lp09instiaas02
li10logstash1vm.bmwgroup.net	pbis-enterprise	10.0.0	lp10instiaas02
lt10mq16vm.bmwgroup.net	pbis-enterprise	10.0.0	lp10instiaas02
lt10app12001vm.bmwgroup.net	pbis-enterprise	10.0.0	lp10instiaas02
lt10intra12002vm.bmwgroup.net	pbis-enterprise	10.0.0	lp10instiaas02
lt09www12003.bmwgroup.net	pbis-enterprise	10.0.0	lp09instiaas02
li19www12003.bmwgroup.net	pbis-enterprise	10.0.0	lp19instiaas02
li09app12125vm.bmwgroup.net	pbis-enterprise	10.0.0	lp09instiaas02
lt19cix01.bmwgroup.net	pbis-enterprise	10.0.0	lp19instiaas02
li19cii01.bmwgroup.net	pbis-enterprise	10.0.0	lp19instiaas02
li19ciq03.bmwgroup.net	pbis-enterprise	10.0.0	lp19instiaas02
linagi61.bmwgroup.net	pbis-enterprise	10.0.0	lpinstiaashs02
li19socsplunk07.bmwgroup.net	pbis-enterprise	10.0.0	lp19instiaas02
ltinstvmwmsc01.bmwgroup.net	pbis-enterprise	10.0.0	lpinstlab3
ltpampoc08.bmwgroup.net	pbis-enterprise	10.1.1	ltinst02
ltpampoc05.bmwgroup.net	pbis-enterprise	10.1.1	ltinst01
lt10masterintra12002vm.bmwgroup.net	pbis-enterprise	10.0.0	lp10instiaas02
lirudderinstallq02.bmwgroup.net	pbis-enterprise	10.1.1	lpinstiaashs02
li09app12121vm.bmwgroup.net	pbis-enterprise	10.0.0	lp09instiaas02
lt10mq36vm.bmwgroup.net	pbis-enterprise	10.1.1	lp10instiaas02
li19cddynatag02.bmwgroup.net	pbis-enterprise	10.0.0	lp19instiaas02
li19dynatag03.bmwgroup.net	pbis-enterprise	10.0.0	lp19instiaas02
lt19xens12.bmwgroup.net	pbis-enterprise	10.0.0	lp19instiaas02
li19pix02vm.bmwgroup.net	pbis-enterprise	10.0.0	lp19instiaas02
lt10mqb2v05vm.bmwgroup.net	pbis-enterprise	10.1.1	lp10instiaas02
li19mq03vm.bmwgroup.net	pbis-enterprise	10.1.1	lp19instiaas02
lt09dcj03.bmwgroup.net	pbis-enterprise	10.0.0	lp09instiaas02
li30ipsib2vm.w30.bmwgroup.net	pbis-enterprise	10.0.0	lp10instiaas02
lt10dkaiqs002vm.bmwgroup.net	pbis-enterprise	10.0.0	lp10instiaas02
linagi13.bmwgroup.net	pbis-enterprise	10.0.0	lpinstiaashs02
li19d04.cn.sub	pbis-enterprise	10.0.0	lp19instiaas02
lt10dkaiqxiolab003vm.bmwgroup.net	pbis-enterprise	10.0.0	lp10instiaas02
li19crmtomat04.bmwgroup.net	pbis-enterprise	10.0.0	lp19instiaas02
lt19szmq02vm.bmwgroup.net	pbis-enterprise	10.0.0	lp19instiaas02
li10mci06.bmwgroup.net	pbis-enterprise	10.0.0	lp10instiaas02
li10mci07.bmwgroup.net	pbis-enterprise	10.0.0	lp10instiaas02
